word1,word2,similarity
sun-n,sunlight-n,50
automobile-n,car-n,50
river-n,water-n,49
stair-n,staircase-n,49
morning-n,sunrise-n,49
rain-n,storm-n,49
cat-n,kitten-n,49
dance-n,dancer-n,49
camera-n,photography-n,49
cat-n,feline-j,48
sunny-j,sunshine-n,48
pregnancy-n,pregnant-j,48
beach-n,sand-n,48
bakery-n,bread-n,48
flower-n,garden-n,48
grass-n,lawn-n,48
copper-n,metal-n,48
photo-n,photography-n,47
cemetery-n,graveyard-n,47
gravestone-n,graveyard-n,47
sun-n,sunshine-n,47
black-j,dark-j,47
cathedral-n,church-n,47
frozen-j,ice-n,47
station-n,subway-n,47
child-n,kid-n,46
aquarium-n,fish-n,46
light-n,lighting-n,46
fungus-n,mushroom-n,46
frost-n,snow-n,46
burn-v,flame-n,46
ocean-n,sea-n,46
candy-n,chocolate-n,46
car-n,vehicle-n,46
concert-n,music-n,46
photo-n,picture-n,46
grape-n,wine-n,46
bath-n,bathroom-n,46
bud-n,flower-n,46
cat-n,kitty-n,46
ocean-n,water-n,46
aircraft-n,airplane-n,46
butterfly-n,caterpillar-n,46
hair-n,wig-n,46
blossom-n,bud-n,46
highway-n,road-n,46
bunny-n,rabbit-n,46
bread-n,sandwich-n,46
mist-n,misty-j,46
flower-n,petal-n,46
airplane-n,flight-n,46
fish-n,fishing-n,46
ice-n,snow-n,46
bright-j,sun-n,45
shade-n,tree-n,45
bicycle-n,bike-n,45
truck-n,vehicle-n,45
shore-n,water-n,45
boat-n,fishing-n,45
dog-n,puppy-n,45
bride-n,wedding-n,45
bird-n,hummingbird-n,45
sea-n,water-n,45
cow-n,milk-n,45
bird-n,feather-n,45
skate-n,skating-n,45
chapel-n,church-n,45
branch-n,twig-n,45
concert-n,musician-n,45
clothes-n,dress-n,45
automobile-n,vehicle-n,45
splash-n,swimming-n,45
bed-n,furniture-n,45
aircraft-n,flight-n,45
reptile-n,snake-n,45
motorcycle-n,scooter-n,45
coffee-n,tea-n,45
feather-n,goose-n,45
pool-n,swimming-n,45
eye-n,face-n,45
dirt-n,dirty-j,45
railway-n,train-n,45
harbour-n,port-n,45
fruit-n,strawberry-n,45
flight-n,plane-n,45
smoke-n,smoking-n,45
ivy-n,plant-n,45
river-n,stream-n,45
lake-n,water-n,45
kitten-n,kitty-n,45
snow-n,snowman-n,45
dog-n,terrier-n,45
daffodil-n,flower-n,45
pond-n,water-n,45
show-n,television-n,44
handwriting-n,write-v,44
flood-n,water-n,44
jazz-n,musician-n,44
eagle-n,feather-n,44
grape-n,vine-n,44
bird-n,hawk-n,44
clothes-n,outfit-n,44
exhibition-n,museum-n,44
hand-n,palm-n,44
grave-n,graveyard-n,44
berry-n,strawberry-n,44
forest-n,oak-n,44
crochet-n,knit-v,44
bird-n,eagle-n,44
canine-j,puppy-n,44
bar-n,cocktail-n,44
bar-n,pub-n,44
sunlight-n,sunshine-n,44
apple-n,fruit-n,44
sun-n,sunrise-n,44
gymnastics-n,sport-n,44
sailing-n,ship-n,44
beach-n,sea-n,44
game-n,hockey-n,44
bed-n,pillow-n,44
daffodil-n,tulip-n,44
flower-n,plant-n,44
fire-n,smoke-n,44
canine-j,dog-n,44
bracelet-n,jewelry-n,44
feline-j,kitty-n,44
architecture-n,building-n,44
shop-n,shopping-n,44
highway-n,traffic-n,44
lizard-n,reptile-n,44
music-n,piano-n,44
strawberry-n,sweet-j,44
snow-n,winter-n,44
autumn-n,spring-n,44
bacon-n,meat-n,44
raspberry-n,strawberry-n,44
chipmunk-n,squirrel-n,44
coast-n,harbor-n,44
dress-n,skirt-n,44
sun-n,sunny-j,44
lily-n,tulip-n,44
grave-n,gravestone-n,44
bright-j,sunny-j,44
dandelion-n,plant-n,44
light-n,sunlight-n,44
hill-n,mountain-n,43
burger-n,food-n,43
sea-n,shore-n,43
feather-n,peacock-n,43
child-n,mother-n,43
night-n,sunset-n,43
orange-j,peel-n,43
subway-n,train-n,43
camera-n,lens-n,43
daisy-n,petal-n,43
aircraft-n,wing-n,43
bloom-n,flower-n,43
clothes-n,jacket-n,43
dinner-n,restaurant-n,43
swim-v,swimming-n,43
cemetery-n,gravestone-n,43
cigarette-n,smoke-n,43
shirt-n,skirt-n,43
baby-n,pregnant-j,43
cherry-n,fruit-n,43
beef-n,meat-n,43
blossom-n,daffodil-n,43
bloom-n,blossom-n,43
maple-n,oak-n,43
frost-n,winter-n,43
colour-n,pink-j,43
dog-n,poodle-n,43
lantern-n,light-n,43
coast-n,sea-n,43
tunnel-n,underground-j,43
dog-n,pet-n,43
hair-n,haircut-n,43
day-n,sunset-n,43
bikini-n,swimsuit-n,43
rail-n,railway-n,43
art-n,museum-n,43
painting-n,portrait-n,43
dress-n,wedding-n,43
poodle-n,puppy-n,43
port-n,ship-n,43
bloom-n,tulip-n,43
